KW,CHWTON,HTmmBTU,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wet_bulb_temperature,altimeter,DayOfYear_cos,Combined mmBTU,GHG
13641.35,6088.380282,3344.117647,14.4,-7.8,971.1,1010.3,5.5,1010.8,0.99992592,3463.733818,7.406
13752.42,5918.978873,3432.352941,13.3,-6.7,971.1,1010.3,5.2,1010.8,0.99992592,3550.315109,7.466
13761.52,5997.429577,3400,11.7,-5,971.1,1010.5,4.8,1010.8,0.99992592,3518.934718,7.472
13713.8,5802.394366,3455.882353,11.7,-6.7,971.1,1010.3,4.3,1010.8,0.99992592,3572.31359,7.443
13442.95,6010.246479,3500,12.2,-6.1,971.1,1010.4,4.8,1010.8,0.99992592,3618.001472,7.3
13599.95,5849.683099,3600,9.4,-4.4,971.4,1010.7,3.8,1011.2,0.99992592,3716.610263,7.383
13218.83,6481.65493,3579.411765,11.1,-6.1,971.4,1010.7,4.2,1011.2,0.99992592,3702.305905,7.177
13214.5,6295.739437,3747.058824,9.4,-5.6,971.4,1010.7,3.5,1011.2,0.99992592,3867.706991,7.171
12593.3,6469.471831,3738.235294,8.3,-6.1,971.7,1011,2.7,1011.5,0.99992592,3858.848713,6.667
12687.86,6340.176056,3523.529412,8.9,-6.1,972,1011.5,3,1011.9,0.99992592,3642.913804,5.234
12782.42,7395.492958,3335.294118,7.8,-5.6,972.4,1011.7,2.6,1012.2,0.99992592,3467.666182,4.432
12876.98,8448.908451,2970.588235,8.3,-6.1,972.7,1011.8,2.7,1012.5,0.99992592,3115.925152,4.740666667
13038.53,9464.788732,2800,6.1,-4.4,973,1012.4,2,1012.9,0.99992592,2958.079897,5.049333333
13120.1,10287.42958,2744.117647,6.1,-5.6,973.7,1013,1.6,1013.5,0.99992592,2912.348513,5.358
13301.9,10675.10563,2697.058824,5.6,-5.6,974.7,1014.2,1.3,1014.6,0.99992592,2870.562604,5.666666667
13542.16,10421.30282,2682.352941,5,-5.6,975.6,1015.1,1,1015.6,0.99992592,2853.630643,5.975333333
13782.42,10167.5,2708.823529,7.2,-5,976.6,1016.1,2.4,1016.6,0.99992592,2877.875153,6.284
13292.23,9913.697183,2876.470588,9.4,-6.1,977.9,1017.5,3.3,1017.9,0.99992592,3040.803603,6.852
13204.17,9659.894366,2985.294118,11.7,-5.6,978.6,1018,4.7,1018.6,0.99992592,3146.280721,6.969
12993.15,8867.253521,3064.705882,13.9,-6.1,977.9,1017.6,5.6,1017.9,0.99992592,3215.459825,7.054
12851.38,8546.161972,3182.352941,15.6,-7.2,977.9,1017.2,6.2,1017.9,0.99992592,3328.769656,6.977
12581.2,7739.049296,3185.294118,17.2,-7.2,977.6,1017,7,1017.6,0.99992592,3321.102621,6.834
12266.25,7152.992958,3317.647059,17.8,-7.2,977.6,1017,7.3,1017.6,0.99992592,3445.347509,6.663
11582.92,6191.021127,3344.117647,17.2,-7.2,977.9,1017.4,7,1017.9,0.99992592,3457.941598,6.287
11656.10667,5425.457746,3520.588235,17.8,-7.2,978.9,1018.2,7.3,1019,0.9997037,3625.474292,6.048
11729.29333,5412.816901,3576.470588,15.6,-6.1,979.2,1018.7,6.5,1019.3,0.9997037,3681.454676,6.06
11802.48,5566.901408,3564.705882,13.9,-6.1,979.6,1019.4,5.7,1019.6,0.9997037,3671.788896,6.407
11732.4,5729.753521,3650,12.8,-5.6,979.9,1019.8,5.2,1020,0.9997037,3758.798289,6.369
12139.21667,5498.169014,3867.647059,11.7,-5.6,980.6,1020.2,4.7,1020.7,0.9997037,3975.05426,6.188
12546.03333,5424.683099,3970.588235,10.6,-5,980.9,1020.6,4.2,1021,0.9997037,4078.501711,6.386
12952.85,6109.964789,4000,9.4,-3.9,981.5,1021.3,4,1021.7,0.9997037,4117.525826,7.035
13019.33,6093.098592,4167.647059,8.3,-3.9,981.5,1021.2,3.4,1021.7,0.9997037,4285.197322,7.06
12553.23,6263.239437,4029.411765,7.2,-5,981.5,1021.2,2.4,1021.7,0.9997037,4147.413429,6.504
12166.5,6059.683099,3838.235294,6.7,-4.4,982.2,1021.8,2.3,1022.4,0.9997037,3952.474403,5.468
13015.22,7374.859155,3750,6.7,-4.4,982.9,1022.5,2.3,1023,0.9997037,3882.918823,4.759
