KW,CHWTON,HTmmBTU,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wet_bulb_temperature,altimeter,DayOfYear_cos,Combined mmBTU,GHG
11822.13,6234.471831,3358.823529,16.7,-6.7,981.5,1021.2,6.9,1021.7,0.9997037,73.01,6.42
11864.1975,5534.260563,3514.705882,16.7,-6.7,981.2,1021,6.9,1021.3,0.999333408,69.29,6.125
11906.265,5354.859155,3567.647059,15,-6.1,981.5,1021.2,6.2,1021.7,0.999333408,68.54,6.074
11948.3325,5094.683099,3626.470588,12.8,-5,981.9,1021.7,5.4,1022,0.999333408,68.07,6.107
11990.4,5708.06338,3750,12.2,-5,981.9,1021.6,5.1,1022,0.999333408,73.12,6.51
11930.315,5321.267606,3864.705882,10.6,-3.3,981.9,1021.7,4.7,1022,0.999333408,70.41,6.228
11870.23,5423.204225,3952.941176,9.4,-3.3,981.9,1021.8,4.2,1022,0.999333408,72.42,6.445
12670.95,5532.992958,4079.411765,8.3,-3.3,981.5,1021.2,3.6,1021.7,0.999333408,75.96,6.878
13039.83,6162.007042,4205.882353,7.8,-3.9,981.5,1021.2,3.1,1021.7,0.999333408,79.8,7.079
12917.35,6028.450704,4179.411765,7.2,-4.4,981.5,1021.1,2.6,1021.7,0.999333408,78.83,6.838
12740.8,6454.330986,3858.823529,6.7,-5,981.5,1021.3,2.1,1021.7,0.999333408,78.59,5.59
12694.75,6882.429577,3741.176471,6.1,-4.4,981.5,1021.1,2,1021.7,0.999333408,79.49,5.189
12766.98,7344.366197,3411.764706,5.6,-4.4,981.5,1021.1,1.7,1021.7,0.999333408,80.19,4.826
12996.3,8025.56338,2979.411765,5.6,-5,981.5,1021.1,1.5,1021.7,0.999333408,81.82,5.0688
13112.88,9160.598592,2902.941176,4.4,-5,981.9,1021.6,0.9,1022,0.999333408,85.83,5.3116
13124.73,9967.394366,2788.235294,4.4,-4.4,982.2,1022.1,1,1022.4,0.999333408,88.23,5.5544
13255.15,9709.591549,2767.647059,4.4,-5,982.2,1021.9,0.9,1022.4,0.999333408,90.53,5.7972
13264.935,9451.788732,2761.764706,7.2,-5.6,982.5,1022.3,2.3,1022.7,0.999333408,92.23,6.04
13274.72,9193.985915,2894.117647,8.9,-5.6,983.2,1023,3.2,1023.4,0.999333408,90.21,6.816
13165.1,8936.183099,2979.411765,10.6,-5,983.2,1023.1,4.3,1023.4,0.999333408,86.58,7.064
12843.63,8678.380282,3008.823529,13.3,-6.1,982.2,1021.9,5.4,1022.4,0.999333408,83.63,6.975
12633.63,7857.394366,3088.235294,13.9,-6.1,980.9,1020.6,5.7,1021,0.999333408,80.39,6.859
12381,7289.119718,3152.941176,15.6,-6.1,980.2,1019.8,6.5,1020.3,0.999333408,77.81,6.721
12174.47,6911.725352,3185.294118,17.2,-5.6,979.9,1019.4,7.4,1020,0.999333408,75.93,6.609
12158.335,6214.859155,3297.058824,17.2,-5.6,979.9,1019.5,7.4,1020,0.999333408,73.02,6.468
12142.2,5987.429577,3452.941176,17.2,-5,979.6,1019.1,7.6,1019.6,0.998815153,73.57,6.593
12214.3,5656.584507,3532.352941,16.7,-5,979.6,1019.3,7.3,1019.6,0.998815153,72.97,6.632
12322.65,5695.774648,3667.647059,15.6,-5,980.2,1020,6.8,1020.3,0.998815153,73.92,6.691
12388.63,5537.464789,3752.941176,12.2,-3.9,980.2,1020,5.4,1020.3,0.998815153,73.91,6.726
12587.65,6043.274648,3820.588235,11.1,-3.3,980.6,1020.2,5,1020.7,0.998815153,76.54,6.834
13157.2,5987.147887,4232.352941,10.6,-2.8,980.6,1020.2,4.9,1020.7,0.998815153,79.69,7.144
13745.8,6667.359155,4267.647059,9.4,-2.2,980.6,1020.4,4.5,1020.7,0.998815153,84.13,7.464
14080.67,6264.049296,4432.352941,8.9,-2.8,980.9,1020.4,4,1021,0.998815153,84.46,7.64
13831.4,6744.401408,4317.647059,7.8,-3.3,980.9,1020.4,3.3,1021,0.998815153,84.86,7.339
13825.32,6727.359155,3994.117647,7.2,-3.9,980.6,1020.1,2.8,1020.7,0.998815153,83.68,6.279
13953.9,8066.021127,3511.764706,7.2,-3.9,980.6,1020,2.8,1020.7,0.998815153,87.04,5.215
14289.55,9299.71831,3173.529412,6.7,-3.9,980.6,1020.1,2.5,1020.7,0.998815153,91.24,5.524333333
14529.97,10369.15493,3085.294118,6.7,-4.4,980.6,1020,2.3,1020.7,0.998815153,95.41,5.833666667
15350,12166.61972,2917.647059,6.7,-4.4,981.2,1020.8,2.3,1021.3,0.998815153,103.76,6.143
15050.18,11872.05399,2832.352941,6.1,-5,981.9,1021.4,1.8,1022,0.998815153,108.59,6.452333333
14750.36,11577.48826,2861.764706,5.6,-4.4,982.2,1022,1.7,1022.4,0.998815153,109.72,6.761666667
14450.54,11282.92254,2829.411765,7.2,-4.4,982.5,1022.5,2.6,1022.7,0.998815153,110.62,7.071
14150.72,10988.35681,2908.823529,10.6,-4.4,983.2,1023,4.4,1023.4,0.998815153,106.9,7.215
13850.9,10693.79108,2979.411765,13.9,-5.6,982.9,1022.6,5.8,1023,0.998815153,96.45,7.359
13533.58,10399.22535,3026.470588,15,-5.6,981.5,1021.1,6.4,1021.7,0.998815153,91.9,7.35
13233.35,9778.521127,2935.294118,17.8,-4.4,979.6,1019.2,8,1019.6,0.998815153,88.46,7.184
12844.38,9082.852113,2885.294118,18.9,-5,978.9,1018.2,8.4,1019,0.998815153,84.6,6.975
12473.6,8436.65493,2817.647059,19.4,-5,977.9,1017.3,8.6,1017.9,0.998815153,80.89,6.77
12112.15,7280.774648,2935.294118,20,-5,977.3,1016.6,8.9,1017.3,0.998815153,76.12,6.577
12317.55,6579.71831,3144.117647,20,-5,977,1016.3,8.9,1016.9,0.998149087,75.14,6.687
12332.05,6641.267606,3205.882353,18.3,-4.4,977.3,1016.6,8.3,1017.3,0.998149087,75.61,6.693
12216.05,6094.049296,3202.941176,16.7,-3.9,977.6,1017.1,7.6,1017.6,0.998149087,73.35,6.632
12387.47,6401.373239,3297.058824,15,-3.9,977.3,1016.7,6.8,1017.3,0.998149087,75.3,6.726
12456.55,6123.838028,3470.588235,12.8,-2.8,977,1016.5,6,1016.9,0.998149087,75.17,6.762
13083.8,6709.577465,3676.470588,13.3,-2.8,978.3,1017.6,6.3,1018.3,0.998149087,80.01,7.101
13359.63,6732.5,3955.882353,11.7,-2.8,977.9,1017.3,5.5,1017.9,0.998149087,81.98,7.254
13192.65,6992.640845,3836.029412,11.1,-1.7,978.3,1017.6,5.6,1018.3,0.998149087,82.93,7.162
12967.1,6684.753521,3716.176471,10.6,-1.7,977.6,1017.1,5.3,1017.6,0.998149087,81.07,6.844
12967.42,7384.894366,3596.323529,10,-1.7,977.3,1016.7,5,1017.3,0.998149087,82.73,5.652
13145.73,8318.943662,3476.470588,8.9,-1.7,977.6,1016.8,4.4,1017.6,0.998149087,85.03,4.524
13582.65,10604.54225,3023.529412,9.4,-2.2,977.6,1016.8,4.5,1017.6,0.998149087,92.77,4.773333333
13827.52,12324.78873,2888.235294,8.3,-1.7,977.6,1017,4.1,1017.6,0.998149087,99.01,5.022666667
13996.92,13807.11268,2794.117647,7.8,-1.7,977.3,1016.8,3.8,1017.3,0.998149087,104.31,5.272
14012.7,13406.37911,2717.647059,7.2,-2.8,978.3,1017.7,3.1,1018.3,0.998149087,107.66,5.521333333
13885.4,13005.64554,2676.470588,6.7,-2.8,978.6,1018,2.8,1018.6,0.998149087,108.61,5.770666667
13817.3,12604.91197,2673.529412,8.9,-2.8,979.2,1018.9,4,1019.3,0.998149087,107.87,6.02
13585.2,12204.1784,2676.470588,11.7,-3.9,979.6,1019.1,5.1,1019.6,0.998149087,102.97,6.932
13232.65,11803.44484,2805.882353,15,-3.9,979.2,1018.6,6.8,1019.3,0.998149087,97.04,7.121
13391.64333,11402.71127,2864.705882,16.7,-4.4,978.6,1017.8,7.5,1018.6,0.998149087,92.29,6.951
13550.63667,10200.88028,2885.294118,17.8,-5.6,977.6,1016.7,7.7,1017.6,0.998149087,88.71,7.025
13709.63,9523.521127,2955.882353,19.4,-5,976.6,1015.9,8.6,1016.6,0.998149087,89.29,7.444
14213.48,8209.119718,2900,21.7,-4.4,976.3,1015.3,9.8,1016.3,0.998149087,88.81,8.111
14717.33,7213.556338,3055.882353,20.6,-4.4,976.3,1015.5,9.3,1016.3,0.998149087,85.2,7.991
14638.58,6803.415493,3111.764706,20.6,-3.3,976.6,1015.7,9.6,1016.6,0.99733541,83.72,7.948
14483.65,6382.535211,3205.882353,19.4,-2.8,977,1016.3,9.2,1016.9,0.99733541,82.07,7.865
14335.6,6490.211268,3276.470588,18.3,-2.8,977.6,1017,8.7,1017.6,0.99733541,82.17,7.783
14307.9,6169.683099,3370.588235,17.2,-2.2,977.9,1017.3,8.4,1017.9,0.99733541,81.31,7.77
14373.77,6600.28169,3620.588235,13.9,-1.7,978.6,1018.1,7,1018.6,0.99733541,83.84,7.804
14599.83,6401.93662,3917.647059,13.9,-2.2,978.9,1018.5,6.8,1019,0.99733541,84.95,7.929
14547.625,6830.774648,4017.647059,11.1,-1.7,979.2,1018.8,5.6,1019.3,0.99733541,88.03,8.128
14495.42,6605,4141.176471,10.6,-1.7,979.6,1018.9,5.3,1019.6,0.99733541,86.05,7.868
13766.43,7182.253521,4007.352941,9.4,-1.7,979.6,1018.9,4.7,1019.6,0.99733541,85.54,7.218
13344.78,7280.492958,3873.529412,8.9,-1.7,979.6,1019.1,4.4,1019.6,0.99733541,83.51,5.568
13314.48,8912.570423,3438.235294,8.9,-2.8,979.9,1019.2,4,1020,0.99733541,87.5,4.168
13799.3,11382.42958,3011.764706,7.8,-2.8,979.9,1019.3,3.4,1020,0.99733541,96.11,4.523166667
14130.27,13703.76761,2882.352941,7.2,-2.8,979.9,1019.5,3.1,1020,0.99733541,104.72,4.878333333
14125.4,13353.04829,2905.882353,5,-2.8,980.2,1019.8,1.9,1020.3,0.99733541,108.18,5.2335
14098.25,13002.32897,2814.705882,6.7,-2.8,980.9,1020.4,2.8,1021,0.99733541,110.04,5.588666667
13881.63,12651.60966,2882.352941,6.7,-3.9,981.2,1020.9,2.5,1021.3,0.99733541,109.49,5.943833333
13647.83,12300.89034,2800,8.9,-2.8,981.9,1021.5,4,1022,0.99733541,105.39,6.299
13427.85,11950.17103,2800,12.2,-4.4,982.2,1021.7,5.3,1022.4,0.99733541,102.89,6.9
13131.9,11599.45171,2858.823529,15,-5,981.5,1021.1,6.5,1021.7,0.99733541,97.01,7.127
13396.36667,11248.73239,2976.470588,18.9,-5.6,980.6,1019.9,8.2,1020.7,0.99733541,91.67,6.879
13660.83333,10421.12676,2955.882353,20,-8.3,979.6,1018.9,8.1,1019.6,0.99733541,88.2,6.785
13925.3,9510.669014,2894.117647,20.6,-7.2,978.6,1017.9,8.6,1018.6,0.99733541,89.77,7.561
14081.11,8563.309859,2950,21.1,-7.8,977.9,1017.3,8.7,1017.9,0.99733541,90.39,8.141
14236.92,7205.809859,3079.411765,20.6,-7.8,977.9,1017.1,8.5,1017.9,0.99733541,83.61,7.728
13769.5,6164.753521,3300,20.6,-7.8,977.6,1017,8.5,1017.6,0.996374361,79.21,7.478
13863.63,6285.211268,3329.411765,19.4,-7.2,977.6,1016.9,8.1,1017.6,0.996374361,80.04,7.527
14045.58,6262.394366,3402.941176,16.7,-6.1,977.6,1017.1,7,1017.6,0.996374361,80.83,7.625
14034.6,5969.295775,3494.117647,15,-5,978.3,1017.7,6.5,1018.3,0.996374361,80.12,7.619
14095.67,6569.71831,3641.176471,15,-6.1,978.3,1017.8,6.2,1018.3,0.996374361,82.86,7.654
14164.64667,6513.943662,3879.411765,12.8,-5,978.6,1017.9,5.4,1018.6,0.996374361,85.43,7.963
14233.62333,7166.725352,4020.588235,11.7,-4.4,978.3,1017.7,5,1018.3,0.996374361,90.1,8.278
14302.6,7048.415493,4173.529412,10,-3.9,978.3,1017.7,4.3,1018.3,0.996374361,87.01,7.764
13430.07,7382.816901,4069.117647,10,-3.9,978.6,1017.7,4.3,1018.6,0.996374361,85.36,7.038
13101.28,7803.978873,3964.705882,8.9,-4.4,978.9,1018.2,3.5,1019,0.996374361,84.78,5.473
13408.02,9517.957746,3532.352941,8.9,-4.4,978.9,1018.2,3.5,1019,0.996374361,90.2,4.225
13786.98,11398.1338,3076.470588,7.8,-4.4,978.6,1018.1,2.9,1018.6,0.996374361,96.35,4.509666667
13892.42,12788.73239,2876.470588,7.2,-5.6,978.6,1017.8,2.3,1018.6,0.996374361,100.77,4.794333333
14130.7,13855.03521,2814.705882,7.2,-6.1,978.9,1018.5,2.1,1019,0.996374361,105.01,5.079
14135.52,13426.027,2755.882353,7.2,-6.1,979.2,1018.6,2.1,1019.3,0.996374361,109.18,5.363666667
14060,12997.01878,2682.352941,6.7,-5.6,979.6,1019.2,2,1019.6,0.996374361,111.82,5.648333333
13891.45,12568.01056,2791.176471,9.4,-5.6,980.2,1019.8,3.5,1020.3,0.996374361,111.31,5.933
13647.25,12139.00235,2744.117647,11.7,-6.1,980.9,1020.3,4.5,1021,0.996374361,106.73,6.958
13327.5,11709.99413,2917.647059,15.6,-7.2,980.6,1019.9,6.2,1020.7,0.996374361,99.01,7.222
13618.71,11280.98592,2961.764706,17.8,-8.3,979.2,1018.7,7,1019.3,0.996374361,92.11,6.938
13909.92,10204.61268,2970.588235,19.4,-8.9,978.6,1017.7,7.7,1018.6,0.996374361,87.42,6.769
14201.13,9342.852113,3000,20,-8.3,977.6,1016.7,8.1,1017.6,0.996374361,90.5,7.711
14180.41333,8267.323944,3044.117647,21.7,-8.9,977,1016,8.8,1016.9,0.996374361,90.95,8.341
14159.69667,7411.161972,3138.235294,21.1,-6.7,976.6,1015.9,9,1016.6,0.996374361,86.36,8.026
14138.98,6648.239437,3267.647059,20.6,-7.8,976.6,1015.9,8.5,1016.6,0.995266226,82.01,7.676
13918.1,6431.971831,3279.411765,19.4,-7.2,977,1016.4,8.1,1016.9,0.995266226,80.56,7.557
13912.88,6484.190141,3323.529412,18.9,-5.6,977.3,1016.6,8.2,1017.3,0.995266226,80.87,7.552
14494.78,6410.387324,3388.235294,15.6,-5,977.9,1017.3,6.8,1017.9,0.995266226,82.82,7.872
14668.15,6771.619718,3661.764706,14.4,-4.4,977.9,1017.4,6.4,1017.9,0.995266226,85.58,7.963
14441.83,6495,3882.352941,12.8,-3.9,978.3,1017.6,5.7,1018.3,0.995266226,84.61,7.841
14203.605,6952.535211,4052.941176,11.7,-3.3,978.3,1017.5,5.3,1018.3,0.995266226,88.96,8.19
13965.38,7301.514085,4173.529412,10.6,-3.3,977.9,1017.2,4.7,1017.9,0.995266226,86.72,7.577
13141.45,7046.161972,4173.529412,10,-3.9,977.9,1017.3,4.3,1017.9,0.995266226,83.04,6.887
13089.83,7953.767606,3941.176471,10,-3.9,978.3,1017.5,4.3,1018.3,0.995266226,85.17,5.445
13400.68,8976.021127,3452.941176,9.4,-3.9,978.3,1017.6,4,1018.3,0.995266226,88.05,4.215
13690.25,11194.08451,3029.411765,8.3,-4.4,978.3,1017.6,3.2,1018.3,0.995266226,95.16,4.5372
13949.83,12822.85211,2776.470588,7.8,-4.4,978.3,1017.8,2.9,1018.3,0.995266226,100.74,4.8594
14095.65,12478.95372,2844.117647,7.2,-5,978.3,1017.8,2.4,1018.3,0.995266226,105.13,5.1816
14001.78,12135.05533,2785.294118,6.7,-5.6,978.9,1018.4,2,1019,0.995266226,104.08,5.5038
13824.5,11791.15694,2876.470588,7.2,-5.6,979.2,1018.7,2.3,1019.3,0.995266226,102.97,5.826
13767.08,11447.25855,2844.117647,8.9,-6.1,979.6,1019.2,3,1019.6,0.995266226,102.38,6.369
13453.5,11103.36016,2835.294118,12.8,-6.7,980.2,1019.9,4.9,1020.3,0.995266226,99.67,7.046
13129.95,10759.46177,2985.294118,15.6,-7.2,979.9,1019.4,6.2,1020,0.995266226,94.13,7.122
13176.965,10415.56338,3026.470588,16.7,-6.7,979.2,1018.6,6.9,1019.3,0.995266226,89.12,6.896
13223.98,10028.38028,2985.294118,18.3,-6.1,977.9,1017.1,7.8,1017.9,0.995266226,89.45,7.182
13715.7,9270.704225,3079.411765,18.9,-8.3,977,1016.2,7.6,1016.9,0.995266226,88.86,7.449
13666.77333,8362.007042,3050,19.4,-7.8,976.3,1015.5,8,1016.3,0.995266226,90.55,8.223
13617.84667,7580.739437,3088.235294,20,-7.2,976,1015.2,8.3,1015.9,0.995266226,86.21,7.934
13568.92,6663.556338,3258.823529,19.4,-7.2,975.3,1014.6,8.1,1015.2,0.994011333,80.09,7.368
13574.05,6324.119718,3273.529412,18.3,-6.7,975.6,1015,7.7,1015.6,0.994011333,79,7.371
13554.3,6290,3373.529412,15.6,-5.6,976.3,1015.6,6.6,1016.3,0.994011333,79.16,7.36
13532.07,5908.380282,3485.294118,15.6,-5,976.3,1015.9,6.8,1016.3,0.994011333,78.16,7.347
14137.7,6358.732394,3658.823529,13.9,-4.4,976,1015.6,6.1,1015.9,0.994011333,82.35,7.677
13632.63,6259.401408,3814.705882,13.3,-4.4,975.6,1015,5.8,1015.6,0.994011333,80.82,7.401
14079.63,6315.809859,4029.411765,13.3,-4.4,976,1015.2,5.8,1015.9,0.994011333,83.27,7.646
13819.82,6831.65493,4091.176471,10.6,-3.3,976.3,1015.6,4.7,1016.3,0.994011333,84.34,7.498
12964.22,6521.690141,4088.235294,10,-4.4,976,1015.3,4.1,1015.9,0.994011333,80.36,6.783
12866.05,7112.464789,3944.117647,9.4,-4.4,975.6,1015,3.8,1015.6,0.994011333,81.14,5.263
12767.88,7323.028169,3570.588235,7.8,-2.8,976,1015.4,3.4,1015.9,0.994011333,80.67,3.887
13332.97,8798.450704,3167.647059,7.2,-3.3,976.3,1015.4,3,1016.3,0.994011333,86.25,4.2785
13626.58,10283.38028,2838.235294,6.7,-4.4,975.6,1014.9,2.3,1015.6,0.994011333,91.19,4.67
13866.83,11205.49296,2779.411765,6.1,-4.4,974.7,1014.1,2,1014.6,0.994011333,94.95,5.0615
14522.73,10961.45372,2726.470588,5,-5,974.7,1014.3,1.2,1014.6,0.994011333,101.19,5.453
14335.03,10717.41449,2785.294118,5.6,-5.6,975.3,1015,1.3,1015.2,0.994011333,107.86,5.8445
14147.33,10473.37525,2817.647059,6.7,-4.4,977,1016.4,2.3,1016.9,0.994011333,105.63,6.236
13959.63,10229.33602,2920.588235,9.4,-5,977.3,1016.8,3.6,1017.3,0.994011333,99.15,7.14
13585.52,9985.296781,2955.882353,12.2,-5.6,977.3,1016.7,4.9,1017.3,0.994011333,92.92,7.32
13428.78,9741.257545,3041.176471,15,-6.1,976.3,1015.8,6.2,1016.3,0.994011333,90.6,7.294
13058.18,9497.21831,2961.764706,16.1,-6.7,975.3,1014.6,6.6,1015.2,0.994011333,87,7.089
12712.48,8895.457746,3114.705882,18.9,-6.1,974.7,1013.9,8.1,1014.6,0.994011333,84.29,6.905
12474.85,8234.753521,3211.764706,19.4,-10,974.3,1013.5,7.5,1014.2,0.994011333,81.55,6.771
12120.42,7711.232394,3258.823529,19.4,-9.4,974.3,1013.6,7.6,1014.2,0.994011333,78.72,6.58
11878,7363.380282,3252.941176,18.9,-9.4,974.7,1013.8,7.3,1014.6,0.992610053,76.68,6.45
11733.9,6599.647887,3394.117647,16.7,-8.9,975,1014.5,6.4,1014.9,0.992610053,74.07,6.37
11792.52,6683.521127,3382.352941,16.7,-8.9,976,1015.3,6.4,1015.9,0.992610053,74.52,6.402
11791.13,6320.633803,3558.823529,13.9,-7.8,976.6,1016.2,5.2,1016.6,0.992610053,73.87,6.403
11963.815,5994.260563,3526.470588,15,-7.2,977,1016.5,5.9,1016.9,0.992610053,71.45,6.211
12136.5,6157.78169,3782.352941,12.8,-6.7,977.9,1017.3,4.9,1017.9,0.992610053,75.26,6.591
12788.85,6735.774648,3944.117647,12.2,-6.7,978.3,1017.8,4.6,1018.3,0.992610053,80,6.943
12929.58,6951.760563,3994.117647,9.4,-6.1,978.6,1018.1,3.3,1018.6,0.992610053,81.39,7.017
12896.65,6920.809859,3900,10,-6.7,978.9,1018.3,3.5,1019,0.992610053,80.85,6.745
12889.25,7649.119718,3732.352941,10,-6.7,979.6,1018.8,3.5,1019.6,0.992610053,82.74,5.24
13175.65,8692.007042,3291.176471,8.9,-6.1,979.9,1019.3,3,1020,0.992610053,85.77,3.949
13553.58,10078.83803,2958.823529,5.6,-5.6,980.2,1019.7,1.3,1020.3,0.992610053,90.66,4.323833333
14286.25,11051.76056,2782.352941,7.2,-5.6,980.2,1019.8,2.3,1020.3,0.992610053,95.87,4.698666667
14143.52857,12390.66901,2776.470588,5.6,-5.6,980.9,1020.5,1.3,1021,0.992610053,102.49,5.0735
14000.80714,11954.64202,2711.764706,5,-5.6,981.5,1021.2,1,1021.7,0.992610053,102.9,5.448333333
13858.08571,11518.61502,2744.117647,4.4,-5.6,982.5,1022.4,0.7,1022.7,0.992610053,104.02,5.823166667
13715.36429,11082.58803,2750,8.9,-6.7,982.9,1022.5,2.9,1023,0.992610053,104.42,6.198
13572.64286,10646.56103,2882.352941,12.2,-7.2,983.2,1022.9,4.5,1023.4,0.992610053,101.16,7.416
13429.92143,10210.53404,2944.117647,15.6,-8.3,983.5,1023,6,1023.7,0.992610053,95.44,7.505
13287.2,9774.507042,3005.882353,15.6,-6.7,982.5,1022.2,6.4,1022.7,0.992610053,88.87,7.214
13113.3,9130.28169,2929.411765,17.8,-7.2,981.5,1021,7.3,1021.7,0.992610053,85.82,7.12
12911.8,8365.28169,3205.882353,18.3,-7.8,980.9,1020.4,7.4,1021,0.992610053,83.47,7.013
12623.73,7584.190141,3352.941176,18.3,-7.8,980.2,1019.8,7.4,1020.3,0.992610053,80.33,6.854
12245.83,7157.746479,3420.588235,19.4,-7.8,980.2,1019.6,8,1020.3,0.992610053,77.81,6.65
12417.13,6484.471831,3494.117647,18.3,-8.3,980.2,1019.7,7.3,1020.3,0.991062803,76.35,6.741
12353.63,6128.626761,3502.941176,17.2,-8.9,980.6,1020.1,6.7,1020.7,0.991062803,74.95,6.707
12446.17,6347.042254,3585.294118,16.7,-8.3,980.6,1020.2,6.5,1020.7,0.991062803,76.28,6.755
